1,BTC,Bitcoin,59585.81,1113051301420.0,22498199509.0
2,ETH,Ethereum,2153.06,248518053729.0,8611223899.0
3,BNB,Binance Coin,484.84,74924649783.0,4187936015.0
4,XRP,XRP,1.44,66047482734.0,18514776611.0
5,USDT,Tether,1.0,44714030334.0,67529411704.0
6,DOT,Polkadot,41.72,41031404065.0,763046142.0
7,ADA,Cardano,1.26,40336333857.0,1577781663.0
8,LTC,Litecoin,260.24,17542788537.0,4323925815.0
9,UNI,Uniswap,30.23,15777201502.0,247252173.0
10,XLM,Stellar,0.65,14817717143.0,5347052096.0
11,LINK,ChainLink,33.73,14133875539.0,703444821.0
12,BCH,Bitcoin Cash,697.6,13048804849.0,1472167705.0
13,THETA,Theta Token,12.26,12261576471.0,296389849.0
14,FIL,Filecoin,177.43,11670716815.0,974459293.0
15,USDC,USD Coin,1.0,11009199149.0,768111545.0
16,DOGE,Dogecoin,0.07,9268218010.0,3430160638.0
17,TRX,TRON,0.13,9214518455.0,2585069950.0
18,VET,VeChain,0.14,8711229198.0,1577771744.0
19,WBTC,Wrapped Bitcoin,59756.33,7068097914.0,105844475.0
20,EOS,EOS,6.93,6620393394.0,2281878711.0
21,_BTT,BitTorrent,0.01,6235667294.0,2481699511.0
22,CRO,Crypto.com Chain,0.24,5844658997.0,222798875.0
23,MIOTA,IOTA,2.02,5616143602.0,228292419.0
24,OKB,OKB,20.56,5541121473.0,268244123.0
25,XMR,Monero,297.14,5313684833.0,262399807.0
26,ATOM,Cosmos,22.23,5301317649.0,376567366.0
27,BSV,Bitcoin SV,277.22,5184830106.0,591878034.0
28,XTZ,Tezos,6.88,4817201187.0,432631790.0
29,NEO,NEO,65.16,4596573135.0,5836560060.0
30,AAVE,Aave,367.31,4584325763.0,110467159.0
31,LUNA,Terra,15.32,4409025562.0,147931283.0
32,XEM,NEM,0.46,4144362852.0,391595041.0
33,AVAX,Avalanche,31.44,4041307580.0,202980811.0
34,EGLD,Elrond,230.09,4025432342.0,459794077.0
35,ALGO,Algorand,1.43,3697481694.0,227733372.0
36,KSM,Kusama,437.2,3542289488.0,141177528.0
37,HT,Huobi Token,19.11,3493876220.0,191774947.0
38,_HOT,Holo Token,0.02,3467003601.0,934866114.0
39,ENJ,Enjin Coin,3.2,2989456846.0,601148030.0
40,CEL,Celsius Network,7.17,2943529652.0,5974671.0
41,DASH,Dash,286.98,2890732251.0,591228540.0
42,SNX,Synthetix,18.94,2864840010.0,70723114.0
43,HBAR,Hedera Hashgraph,0.36,2852821592.0,226661107.0
44,CHZ,Chiliz,0.52,2767447589.0,481857263.0
45,CAKE,PancakeSwap,23.57,2658581971.0,381465266.0
46,ZEC,Zcash,220.16,2538814842.0,812841854.0
47,DCR,Decred,193.5,2478414917.0,24984630.0
48,ZIL,Zilliqa,0.21,2399930511.0,190039428.0
49,ETC,Ethereum Classic,20.6,2396269013.0,928664048.0
